date,crop,price_per_quintal_inr,market,state,arrivals_tonnes
2023-01-08,Wheat,32.47,Madurai,Maharashtra,909.7
2023-01-08,Rice,41.4,Coimbatore APMC,Andhra Pradesh,2561.8
2023-01-08,Soybean,59.03,Bengaluru APMC,Gujarat,1591.7
2023-01-08,Cotton,74.88,Coimbatore APMC,Andhra Pradesh,2148.9
2023-01-09,Tomato,49.27,Coimbatore APMC,Uttar Pradesh,1462.5
2023-01-09,Potato,23.06,Hyderabad,Andhra Pradesh,1395.7
2023-01-09,Corn,28.02,Hyderabad,Maharashtra,4757.5
2023-01-09,Wheat,34.99,Mumbai APMC,Haryana,1919.7
2023-01-09,Rice,39.81,Hyderabad,Gujarat,2142.4
2023-01-09,Soybean,57.25,Bengaluru APMC,Karnataka,4107.0
2023-01-09,Cotton,71.87,Hyderabad,Tamil Nadu,3821.6
2023-01-10,Tomato,48.77,Bengaluru APMC,Maharashtra,3806.3
2023-01-10,Potato,24.78,Delhi Azadpur,Rajasthan,806.4
2023-01-10,Corn,29.6,Madurai,Uttar Pradesh,1933.2
2023-01-10,Wheat,33.46,Delhi Azadpur,Gujarat,1452.0
2023-01-10,Rice,42.07,Hyderabad,Maharashtra,1699.5
2023-01-10,Soybean,58.11,Hyderabad,Andhra Pradesh,815.9
2023-01-10,Cotton,72.6,Coimbatore APMC,Tamil Nadu,113.5
2023-01-11,Tomato,51.15,Mumbai APMC,Gujarat,2052.5
2023-01-11,Potato,25.91,Bengaluru APMC,Haryana,4853.9
2023-01-11,Corn,27.55,Mumbai APMC,Haryana,2473.3
2023-01-11,Wheat,35.95,Koyambedu,Haryana,4430.7
2023-01-11,Rice,36.67,Koyambedu,Haryana,4664.0
2023-01-11,Soybean,58.84,Madurai,Andhra Pradesh,3826.6
2023-01-11,Cotton,73.73,Delhi Azadpur,Punjab,2572.6
2023-01-12,Tomato,50.19,Hyderabad,Punjab,3497.5
2023-01-12,Potato,23.78,Bengaluru APMC,Haryana,3691.5
2023-01-12,Corn,24.66,Coimbatore APMC,Gujarat,220.8
2023-01-12,Wheat,33.31,Mumbai APMC,Tamil Nadu,3502.5
2023-01-12,Rice,41.17,Madurai,Uttar Pradesh,3046.9
2023-01-12,Soybean,59.86,Madurai,Uttar Pradesh,1274.7
2023-01-12,Cotton,72.86,Madurai,Tamil Nadu,627.8
2023-01-13,Tomato,49.46,Koyambedu,Haryana,2018.5
2023-01-13,Potato,22.92,Koyambedu,Rajasthan,4554.2
2023-01-13,Corn,29.05,Bengaluru APMC,Karnataka,4157.3
2023-01-13,Wheat,34.17,Delhi Azadpur,Uttar Pradesh,2528.2
2023-01-13,Rice,39.88,Bengaluru APMC,Uttar Pradesh,3683.0
2023-01-13,Soybean,58.44,Koyambedu,Maharashtra,3199.1
2023-01-13,Cotton,73.82,Mumbai APMC,Karnataka,1381.7
2023-01-14,Tomato,52.16,Coimbatore APMC,Haryana,3510.1
2023-01-14,Potato,22.65,Chennai APMC,Karnataka,4091.1
2023-01-14,Corn,27.21,Chennai APMC,Maharashtra,395.7
2023-01-14,Wheat,33.12,Bengaluru APMC,Rajasthan,2113.4
2023-01-14,Rice,38.51,Delhi Azadpur,Haryana,894.6
2023-01-14,Soybean,58.15,Mumbai APMC,Karnataka,3535.0
2023-01-14,Cotton,74.1,Coimbatore APMC,Gujarat,950.8
2023-01-15,Tomato,50.75,Koyambedu,Gujarat,2857.1
2023-01-15,Potato,23.39,Coimbatore APMC,Karnataka,1044.7
2023-01-15,Corn,25.61,Madurai,Andhra Pradesh,1333.8
2023-01-15,Wheat,33.11,Bengaluru APMC,Gujarat,3152.8
2023-01-15,Rice,40.22,Koyambedu,Karnataka,445.1
2023-01-15,Soybean,56.53,Koyambedu,Haryana,667.2
2023-01-15,Cotton,73.5,Koyambedu,Punjab,196.8
2023-01-16,Tomato,51.37,Coimbatore APMC,Gujarat,2451.7
2023-01-16,Potato,26.6,Koyambedu,Tamil Nadu,352.2
2023-01-16,Corn,28.03,Chennai APMC,Tamil Nadu,529.4
2023-01-16,Wheat,34.15,Chennai APMC,Haryana,3034.8
2023-01-16,Rice,40.66,Delhi Azadpur,Gujarat,2392.5
2023-01-16,Soybean,54.89,Mumbai APMC,Haryana,1715.9
2023-01-16,Cotton,73.73,Mumbai APMC,Punjab,4093.4
2023-01-17,Tomato,50.88,Mumbai APMC,Haryana,1923.3
2023-01-17,Potato,27.49,Chennai APMC,Punjab,4371.7
2023-01-17,Corn,27.51,Koyambedu,Tamil Nadu,2311.8
2023-01-17,Wheat,34.25,Bengaluru APMC,Karnataka,177.1
2023-01-17,Rice,40.74,Koyambedu,Rajasthan,1433.4
2023-01-17,Soybean,56.04,Coimbatore APMC,Punjab,2287.0
2023-01-17,Cotton,75.51,Hyderabad,Rajasthan,2095.0
2023-01-18,Tomato,51.95,Coimbatore APMC,Tamil Nadu,4931.6
2023-01-18,Potato,25.01,Mumbai APMC,Tamil Nadu,3187.2
2023-01-18,Corn,26.46,Chennai APMC,Punjab,3405.8
2023-01-18,Wheat,35.92,Coimbatore APMC,Gujarat,2030.8
2023-01-18,Rice,38.72,Koyambedu,Punjab,2168.2
2023-01-18,Soybean,58.7,Hyderabad,Maharashtra,3684.7
2023-01-18,Cotton,77.11,Delhi Azadpur,Andhra Pradesh,3574.1
2023-01-19,Tomato,49.36,Chennai APMC,Karnataka,2514.7
2023-01-19,Potato,23.0,Koyambedu,Uttar Pradesh,4170.2
2023-01-19,Corn,27.99,Hyderabad,Karnataka,4487.2
2023-01-19,Wheat,33.09,Koyambedu,Gujarat,3330.1
2023-01-19,Rice,38.52,Coimbatore APMC,Andhra Pradesh,1097.6
2023-01-19,Soybean,57.95,Koyambedu,Maharashtra,2202.7
2023-01-19,Cotton,72.25,Chennai APMC,Karnataka,4648.6
2023-01-20,Tomato,51.58,Mumbai APMC,Haryana,3843.2
2023-01-20,Potato,22.49,Coimbatore APMC,Uttar Pradesh,3346.4
2023-01-20,Corn,30.19,Koyambedu,Karnataka,4617.5
2023-01-20,Wheat,32.69,Hyderabad,Maharashtra,3987.9
2023-01-20,Rice,40.38,Mumbai APMC,Andhra Pradesh,4662.3
2023-01-20,Soybean,59.09,Koyambedu,Punjab,1916.2
2023-01-20,Cotton,72.02,Bengaluru APMC,Rajasthan,4832.9
2023-01-21,Tomato,51.23,Bengaluru APMC,Andhra Pradesh,1156.6
2023-01-21,Potato,25.85,Koyambedu,Uttar Pradesh,484.0
2023-01-21,Corn,25.48,Koyambedu,Punjab,3715.9
2023-01-21,Wheat,34.16,Coimbatore APMC,Maharashtra,2885.6
2023-01-21,Rice,41.28,Madurai,Punjab,4772.6
2023-01-21,Soybean,59.06,Chennai APMC,Uttar Pradesh,356.3
2023-01-21,Cotton,72.03,Coimbatore APMC,Haryana,4900.3
2023-01-22,Tomato,48.93,Mumbai APMC,Punjab,3997.7
2023-01-22,Potato,24.69,Madurai,Rajasthan,3335.5
2023-01-22,Corn,28.35,Coimbatore APMC,Maharashtra,2006.8
2023-01-22,Wheat,34.28,Hyderabad,Punjab,766.3
2023-01-22,Rice,41.43,Delhi Azadpur,Andhra Pradesh,2524.2
2023-01-22,Soybean,56.89,Hyderabad,Karnataka,3027.3
2023-01-22,Cotton,74.26,Madurai,Tamil Nadu,3014.5
2023-01-23,Tomato,51.36,Delhi Azadpur,Rajasthan,4952.2
2023-01-23,Potato,22.85,Koyambedu,Uttar Pradesh,4984.4
2023-01-23,Corn,30.72,Hyderabad,Andhra Pradesh,2500.4
2023-01-23,Wheat,34.63,Bengaluru APMC,Tamil Nadu,4906.7
2023-01-23,Rice,39.14,Mumbai APMC,Karnataka,4148.0
2023-01-23,Soybean,58.91,Coimbatore APMC,Andhra Pradesh,3517.0
2023-01-23,Cotton,72.46,Chennai APMC,Karnataka,4291.1
2023-01-24,Tomato,52.12,Bengaluru APMC,Uttar Pradesh,4922.7
2023-01-24,Potato,25.68,Madurai,Tamil Nadu,2762.3
2023-01-24,Corn,26.71,Mumbai APMC,Haryana,3405.6
2023-01-24,Wheat,35.38,Mumbai APMC,Haryana,1985.8
2023-01-24,Rice,41.56,Delhi Azadpur,Uttar Pradesh,3497.1
2023-01-24,Soybean,59.17,Coimbatore APMC,Rajasthan,1999.2
2023-01-24,Cotton,76.78,Madurai,Punjab,3773.7
2023-01-25,Tomato,50.59,Chennai APMC,Uttar Pradesh,2314.8
2023-01-25,Potato,22.82,Madurai,Karnataka,2237.3
2023-01-25,Corn,26.62,Hyderabad,Uttar Pradesh,4491.2
2023-01-25,Wheat,32.73,Coimbatore APMC,Andhra Pradesh,4031.6
2023-01-25,Rice,40.84,Coimbatore APMC,Tamil Nadu,1843.0
2023-01-25,Soybean,58.47,Koyambedu,Karnataka,1914.0
2023-01-25,Cotton,74.37,Bengaluru APMC,Karnataka,4633.6
2023-01-26,Tomato,52.21,Koyambedu,Punjab,4872.1
2023-01-26,Potato,23.98,Madurai,Tamil Nadu,630.9
2023-01-26,Corn,30.15,Mumbai APMC,Haryana,4850.1
2023-01-26,Wheat,33.57,Bengaluru APMC,Andhra Pradesh,218.3
2023-01-26,Rice,45.05,Coimbatore APMC,Haryana,2468.7
2023-01-26,Soybean,58.9,Madurai,Haryana,3890.5
2023-01-26,Cotton,72.68,Koyambedu,Gujarat,4331.2
2023-01-27,Tomato,49.37,Bengaluru APMC,Uttar Pradesh,3180.1
2023-01-27,Potato,24.7,Hyderabad,Punjab,107.4
2023-01-27,Corn,27.64,Koyambedu,Maharashtra,654.2
2023-01-27,Wheat,35.05,Coimbatore APMC,Tamil Nadu,2954.9
2023-01-27,Rice,41.69,Hyderabad,Uttar Pradesh,3483.9
2023-01-27,Soybean,57.87,Koyambedu,Karnataka,1950.6
2023-01-27,Cotton,72.71,Bengaluru APMC,Uttar Pradesh,2878.5
2023-01-28,Tomato,48.71,Koyambedu,Punjab,364.3
2023-01-28,Potato,23.31,Madurai,Haryana,4073.7
2023-01-28,Corn,29.27,Chennai APMC,Haryana,2802.5
2023-01-28,Wheat,34.31,Hyderabad,Maharashtra,2618.6
2023-01-28,Rice,39.12,Koyambedu,Andhra Pradesh,4830.1
2023-01-28,Soybean,58.24,Koyambedu,Karnataka,4316.9
2023-01-28,Cotton,74.56,Madurai,Tamil Nadu,2795.9
2023-01-29,Tomato,49.66,Mumbai APMC,Maharashtra,243.8
2023-01-29,Potato,24.22,Coimbatore APMC,Karnataka,484.7
2023-01-29,Corn,28.08,Delhi Azadpur,Tamil Nadu,468.8
2023-01-29,Wheat,32.28,Koyambedu,Rajasthan,1528.0
2023-01-29,Rice,41.53,Madurai,Haryana,4886.7
2023-01-29,Soybean,58.83,Chennai APMC,Andhra Pradesh,1538.0
2023-01-29,Cotton,75.62,Delhi Azadpur,Rajasthan,2252.4
2023-01-30,Tomato,52.58,Hyderabad,Punjab,2637.2
2023-01-30,Potato,21.93,Mumbai APMC,Rajasthan,2577.4
2023-01-30,Corn,26.59,Koyambedu,Tamil Nadu,1223.6
2023-01-30,Wheat,34.77,Coimbatore APMC,Karnataka,1533.6
2023-01-30,Rice,41.77,Coimbatore APMC,Karnataka,3030.6
2023-01-30,Soybean,58.77,Coimbatore APMC,Punjab,1423.1
2023-01-30,Cotton,79.77,Bengaluru APMC,Maharashtra,2771.8
2023-01-31,Tomato,51.85,Delhi Azadpur,Haryana,3266.4
2023-01-31,Potato,25.7,Madurai,Haryana,2307.5
2023-01-31,Corn,29.43,Delhi Azadpur,Haryana,4704.0
2023-01-31,Wheat,34.98,Madurai,Rajasthan,1058.6
2023-01-31,Rice,40.53,Delhi Azadpur,Andhra Pradesh,3586.5
2023-01-31,Soybean,59.14,Madurai,Haryana,4116.8
2023-01-31,Cotton,72.84,Mumbai APMC,Haryana,1925.8
2023-02-01,Tomato,50.64,Coimbatore APMC,Maharashtra,1387.1
2023-02-01,Potato,23.27,Koyambedu,Rajasthan,2063.6
2023-02-01,Corn,28.12,Mumbai APMC,Maharashtra,1846.0
2023-02-01,Wheat,37.47,Mumbai APMC,Uttar Pradesh,774.3
2023-02-01,Rice,38.2,Coimbatore APMC,Uttar Pradesh,98.8
2023-02-01,Soybean,59.03,Bengaluru APMC,Andhra Pradesh,1924.2
2023-02-01,Cotton,71.58,Koyambedu,Maharashtra,919.9
2023-02-02,Tomato,50.29,Delhi Azadpur,Gujarat,522.9
2023-02-02,Potato,25.63,Mumbai APMC,Uttar Pradesh,2780.1
2023-02-02,Corn,28.1,Koyambedu,Tamil Nadu,895.2
2023-02-02,Wheat,32.38,Bengaluru APMC,Karnataka,1758.6
2023-02-02,Rice,39.93,Bengaluru APMC,Gujarat,2981.9
2023-02-02,Soybean,59.02,Delhi Azadpur,Tamil Nadu,3449.0
2023-02-02,Cotton,72.9,Madurai,Karnataka,756.2
2023-02-03,Tomato,51.32,Delhi Azadpur,Tamil Nadu,4596.3
2023-02-03,Potato,24.07,Mumbai APMC,Andhra Pradesh,3407.2
2023-02-03,Corn,27.02,Bengaluru APMC,Gujarat,956.4
2023-02-03,Wheat,37.21,Mumbai APMC,Gujarat,2536.0
2023-02-03,Rice,41.95,Delhi Azadpur,Haryana,2626.9
2023-02-03,Soybean,54.96,Coimbatore APMC,Uttar Pradesh,3196.4
2023-02-03,Cotton,74.28,Koyambedu,Uttar Pradesh,2062.2
2023-02-04,Tomato,50.0,Mumbai APMC,Maharashtra,3191.6
2023-02-04,Potato,25.27,Koyambedu,Andhra Pradesh,4727.1
2023-02-04,Corn,26.8,Madurai,Tamil Nadu,468.7
2023-02-04,Wheat,33.82,Delhi Azadpur,Rajasthan,4651.5
2023-02-04,Rice,41.75,Chennai APMC,Haryana,3401.3
2023-02-04,Soybean,59.29,Madurai,Gujarat,2514.1
2023-02-04,Cotton,72.19,Koyambedu,Haryana,118.8
2023-02-05,Tomato,50.49,Coimbatore APMC,Tamil Nadu,3585.1
2023-02-05,Potato,23.28,Mumbai APMC,Andhra Pradesh,4971.4
2023-02-05,Corn,27.01,Chennai APMC,Gujarat,4825.0
2023-02-05,Wheat,36.64,Coimbatore APMC,Karnataka,421.9
2023-02-05,Rice,41.59,Madurai,Rajasthan,1798.8
2023-02-05,Soybean,56.1,Chennai APMC,Haryana,2502.8
2023-02-05,Cotton,75.36,Madurai,Punjab,4850.2
2023-02-06,Tomato,54.16,Mumbai APMC,Andhra Pradesh,4167.0
2023-02-06,Potato,25.53,Koyambedu,Uttar Pradesh,1530.9
2023-02-06,Corn,25.7,Delhi Azadpur,Uttar Pradesh,1104.7
2023-02-06,Wheat,33.25,Bengaluru APMC,Andhra Pradesh,4619.1
2023-02-06,Rice,42.88,Chennai APMC,Gujarat,4467.8
2023-02-06,Soybean,56.92,Hyderabad,Tamil Nadu,1810.9
2023-02-06,Cotton,74.65,Hyderabad,Punjab,1526.8
2023-02-07,Tomato,52.13,Koyambedu,Tamil Nadu,1781.1
2023-02-07,Potato,22.58,Madurai,Haryana,1804.9
2023-02-07,Corn,27.88,Koyambedu,Haryana,2485.6
2023-02-07,Wheat,29.11,Koyambedu,Rajasthan,2595.9
2023-02-07,Rice,39.43,Madurai,Haryana,663.0
2023-02-07,Soybean,57.59,Hyderabad,Tamil Nadu,820.4
2023-02-07,Cotton,72.1,Delhi Azadpur,Andhra Pradesh,2380.0
2023-02-08,Tomato,53.41,Mumbai APMC,Uttar Pradesh,1854.3
2023-02-08,Potato,21.81,Madurai,Rajasthan,4067.1
2023-02-08,Corn,27.3,Koyambedu,Gujarat,3298.6
2023-02-08,Wheat,34.16,Hyderabad,Karnataka,742.4
2023-02-08,Rice,43.12,Bengaluru APMC,Tamil Nadu,1828.2
2023-02-08,Soybean,55.81,Coimbatore APMC,Maharashtra,988.4
2023-02-08,Cotton,75.7,Chennai APMC,Karnataka,2003.0
2023-02-09,Tomato,50.96,Mumbai APMC,Tamil Nadu,843.5
2023-02-09,Potato,22.47,Coimbatore APMC,Gujarat,4800.5
2023-02-09,Corn,28.64,Delhi Azadpur,Maharashtra,2134.4
2023-02-09,Wheat,34.25,Hyderabad,Karnataka,1658.2
2023-02-09,Rice,40.05,Bengaluru APMC,Rajasthan,3643.7
2023-02-09,Soybean,58.05,Bengaluru APMC,Karnataka,593.2
2023-02-09,Cotton,73.37,Koyambedu,Tamil Nadu,674.3
2023-02-10,Tomato,51.1,Mumbai APMC,Rajasthan,117.6
2023-02-10,Potato,24.93,Coimbatore APMC,Tamil Nadu,3407.6
2023-02-10,Corn,30.31,Mumbai APMC,Haryana,4883.4
2023-02-10,Wheat,32.08,Chennai APMC,Haryana,2427.0
2023-02-10,Rice,44.13,Delhi Azadpur,Gujarat,458.9
2023-02-10,Soybean,55.0,Bengaluru APMC,Andhra Pradesh,3107.2
2023-02-10,Cotton,73.7,Madurai,Andhra Pradesh,1441.6
2023-02-11,Tomato,51.8,Koyambedu,Uttar Pradesh,4971.6
2023-02-11,Potato,24.34,Coimbatore APMC,Haryana,1032.1
2023-02-11,Corn,26.98,Koyambedu,Rajasthan,3074.9
2023-02-11,Wheat,33.6,Coimbatore APMC,Karnataka,1185.5
2023-02-11,Rice,40.18,Madurai,Haryana,239.9
2023-02-11,Soybean,57.03,Coimbatore APMC,Karnataka,2160.2
2023-02-11,Cotton,75.19,Coimbatore APMC,Maharashtra,4328.5
2023-02-12,Tomato,51.43,Bengaluru APMC,Haryana,2648.6
2023-02-12,Potato,22.86,Coimbatore APMC,Andhra Pradesh,1714.1
2023-02-12,Corn,29.25,Hyderabad,Tamil Nadu,2573.8
2023-02-12,Wheat,34.36,Chennai APMC,Uttar Pradesh,594.8
2023-02-12,Rice,42.12,Mumbai APMC,Uttar Pradesh,4717.8
2023-02-12,Soybean,58.84,Bengaluru APMC,Andhra Pradesh,1633.2
2023-02-12,Cotton,72.65,Chennai APMC,Karnataka,252.4
2023-02-13,Tomato,50.04,Chennai APMC,Punjab,1099.3
2023-02-13,Potato,25.0,Hyderabad,Uttar Pradesh,4547.0
2023-02-13,Corn,28.79,Koyambedu,Haryana,965.0
2023-02-13,Wheat,33.85,Hyderabad,Punjab,1704.7
2023-02-13,Rice,41.05,Koyambedu,Maharashtra,3361.3
2023-02-13,Soybean,59.79,Madurai,Punjab,1834.8
2023-02-13,Cotton,72.99,Mumbai APMC,Rajasthan,3043.3
2023-02-14,Tomato,51.68,Coimbatore APMC,Uttar Pradesh,1089.7
2023-02-14,Potato,23.55,Bengaluru APMC,Maharashtra,4441.6
2023-02-14,Corn,27.53,Madurai,Maharashtra,253.1
2023-02-14,Wheat,35.5,Coimbatore APMC,Andhra Pradesh,3538.1
2023-02-14,Rice,42.09,Koyambedu,Maharashtra,4712.0
2023-02-14,Soybean,59.08,Mumbai APMC,Uttar Pradesh,3640.5
2023-02-14,Cotton,75.81,Coimbatore APMC,Rajasthan,3617.8
2023-02-15,Tomato,50.86,Chennai APMC,Karnataka,998.9
2023-02-15,Potato,24.86,Delhi Azadpur,Rajasthan,4876.9
2023-02-15,Corn,27.37,Mumbai APMC,Gujarat,3167.8
2023-02-15,Wheat,34.32,Koyambedu,Haryana,385.2
2023-02-15,Rice,40.64,Bengaluru APMC,Rajasthan,4660.1
2023-02-15,Soybean,57.98,Chennai APMC,Karnataka,3015.8
2023-02-15,Cotton,74.73,Madurai,Uttar Pradesh,275.0
2023-02-16,Tomato,49.58,Chennai APMC,Andhra Pradesh,3716.5
2023-02-16,Potato,26.95,Bengaluru APMC,Gujarat,3439.2
2023-02-16,Corn,26.3,Koyambedu,Karnataka,2216.8
2023-02-16,Wheat,31.99,Bengaluru APMC,Rajasthan,3907.9
2023-02-16,Rice,42.54,Bengaluru APMC,Uttar Pradesh,1074.3
2023-02-16,Soybean,59.0,Chennai APMC,Karnataka,2880.9
2023-02-16,Cotton,74.74,Chennai APMC,Rajasthan,2304.4
2023-02-17,Tomato,51.72,Delhi Azadpur,Uttar Pradesh,4269.8
2023-02-17,Potato,23.76,Delhi Azadpur,Uttar Pradesh,2783.1
2023-02-17,Corn,26.43,Madurai,Andhra Pradesh,275.8
2023-02-17,Wheat,33.89,Coimbatore APMC,Uttar Pradesh,243.5
2023-02-17,Rice,39.77,Madurai,Uttar Pradesh,4639.9
2023-02-17,Soybean,59.24,Delhi Azadpur,Tamil Nadu,3229.9
2023-02-17,Cotton,73.56,Coimbatore APMC,Andhra Pradesh,2696.2
2023-02-18,Tomato,49.51,Chennai APMC,Punjab,3181.8
2023-02-18,Potato,23.27,Mumbai APMC,Punjab,462.1
2023-02-18,Corn,28.37,Delhi Azadpur,Karnataka,2071.3
2023-02-18,Wheat,32.91,Delhi Azadpur,Punjab,4927.0
2023-02-18,Rice,39.52,Chennai APMC,Punjab,1135.4
2023-02-18,Soybean,58.12,Delhi Azadpur,Karnataka,1317.1
2023-02-18,Cotton,74.12,Chennai APMC,Rajasthan,3303.7
2023-02-19,Tomato,49.96,Koyambedu,Haryana,4731.0
2023-02-19,Potato,23.02,Delhi Azadpur,Rajasthan,1070.5
2023-02-19,Corn,28.07,Hyderabad,Andhra Pradesh,1655.1
2023-02-19,Wheat,31.55,Coimbatore APMC,Haryana,820.4
2023-02-19,Rice,38.61,Coimbatore APMC,Haryana,1874.8
2023-02-19,Soybean,56.64,Hyderabad,Maharashtra,2505.0
2023-02-19,Cotton,73.4,Hyderabad,Karnataka,4087.2
2023-02-20,Tomato,51.16,Madurai,Andhra Pradesh,2869.8
2023-02-20,Potato,25.9,Madurai,Uttar Pradesh,154.2
2023-02-20,Corn,28.98,Madurai,Karnataka,4096.6
2023-02-20,Wheat,33.45,Coimbatore APMC,Maharashtra,760.4
2023-02-20,Rice,40.66,Bengaluru APMC,Andhra Pradesh,2302.4
2023-02-20,Soybean,56.19,Bengaluru APMC,Maharashtra,3635.3
2023-02-20,Cotton,73.66,Madurai,Tamil Nadu,3036.3
2023-02-21,Tomato,50.22,Bengaluru APMC,Haryana,152.5
2023-02-21,Potato,24.14,Chennai APMC,Tamil Nadu,704.3
2023-02-21,Corn,26.42,Koyambedu,Uttar Pradesh,756.0
2023-02-21,Wheat,34.44,Chennai APMC,Tamil Nadu,4790.2
2023-02-21,Rice,42.96,Koyambedu,Rajasthan,3693.9
2023-02-21,Soybean,57.49,Mumbai APMC,Maharashtra,1051.5
2023-02-21,Cotton,74.26,Hyderabad,Gujarat,4086.6
2023-02-22,Tomato,51.66,Delhi Azadpur,Punjab,2420.6
2023-02-22,Potato,23.02,Coimbatore APMC,Tamil Nadu,2740.5
2023-02-22,Corn,27.96,Delhi Azadpur,Rajasthan,659.2
2023-02-22,Wheat,33.64,Chennai APMC,Maharashtra,2746.0
2023-02-22,Rice,40.77,Koyambedu,Rajasthan,4438.0
2023-02-22,Soybean,56.46,Bengaluru APMC,Karnataka,56.0
2023-02-22,Cotton,73.66,Coimbatore APMC,Tamil Nadu,1172.0
2023-02-23,Tomato,51.33,Bengaluru APMC,Karnataka,1798.9
2023-02-23,Potato,25.76,Delhi Azadpur,Andhra Pradesh,4612.4
2023-02-23,Corn,29.02,Bengaluru APMC,Maharashtra,2484.5
2023-02-23,Wheat,36.81,Koyambedu,Andhra Pradesh,553.6
2023-02-23,Rice,39.43,Delhi Azadpur,Punjab,427.6
2023-02-23,Soybean,58.89,Mumbai APMC,Maharashtra,1834.4
2023-02-23,Cotton,73.86,Koyambedu,Tamil Nadu,3042.3
2023-02-24,Tomato,53.83,Madurai,Haryana,2675.9
2023-02-24,Potato,22.33,Madurai,Haryana,793.6
2023-02-24,Corn,26.29,Delhi Azadpur,Uttar Pradesh,1774.5
2023-02-24,Wheat,32.65,Koyambedu,Uttar Pradesh,4585.4
2023-02-24,Rice,37.36,Mumbai APMC,Uttar Pradesh,4063.1
2023-02-24,Soybean,56.76,Koyambedu,Tamil Nadu,4315.5
2023-02-24,Cotton,72.41,Madurai,Karnataka,1635.3
2023-02-25,Tomato,50.73,Bengaluru APMC,Gujarat,3620.7
2023-02-25,Potato,24.02,Hyderabad,Maharashtra,610.2
2023-02-25,Corn,30.32,Bengaluru APMC,Uttar Pradesh,766.1
